aalug-alog	shaky, rickety
pasaríng	insinuation, innuendo, quip
pasawáy	contrarian, hardheaded, stubborn, difficult
pasikat	showy
pasíkot-sikot	roundabout, ins and outs, twists and turns; way around, getting around
pasimulâ	beginning (noun)
pasimuno	perpetrator
pasinayà	inauguration
pasintabi	please step aside, please let me pass ("pasintabi po")
pasiyá	a decision, conclusion
paslít	young innocent child; very young, innocent, inexperienced
pasó	expired
pasók	entry, admission; work, school
pastilyas	a type of sweet treat, usually made with carabao milk, butter and egg
pastól	shepherd
pasubali	taking exception to something (during a discussion, etc.); dissenting opinion
pasuwít	loud and short whistle usually used to get someone's attention (paswít)
pasuyò	please can you do me a favor?
patagalin	to make longer
patagilid	tilted, slanted, sideways
patak	drop
pátakarán	by-laws, basic or guiding principles, policies, rules, principles, moral guidelines (root)
patalastas	an advertisement
patalím	a knife or any sharp cutting instrument
patapatan	cause something to be placed in front of something else
patas	drawn, equal in score, neck and neck, even in race or contest; quits
patawad	forgiveness, apology
patawárin	forgive
patáy	dead
patayo	standing, vertical, perpendicular
patayutay	figuratively
patí	including, even, as well
patí na rin ang	as well as
patibóng	trap, booby trap
patikim	"let me have a taste"
pating	a shark
patinig	vowel
patímpalák	a contest
patingkarin	brighten, intensify the color
patiyempo	through proper timing
patnúbay	guide, companion, escort; guidance
patók	a sure winner, a big hit
patos	displaced; metal wedge, metal reinforcement, horseshoe
patotohanan	to prove something
patpatin	thin, skinny
patuloy	constant, continuous, ongoing
patúnay	proof, testimony
patunayan	to prove, testify, verify
patungan	apply; put on (pinapatungan, pinatungan, papatungan)
patungkol	(noun) dedication, commemoration
patungo	toward, going to a certain place
patutsáda	innuendo, gossip, negative rumor, hint (tutsada)
patutunguhan	destination
paulit-ulit	again and again, over and over
paumanhín	apology, "sorry" (very formal)
pauróng	backward
pauso	trendy
pauwi	on the way home
pauwiin	to send home
pawa	nothing else than, entirely, purely; all
páwis	sweat, perspiration
pawikan	tortoise
pawisán	sweaty
payag	agreement, consent
payagan	agree, acquiesce,  accept; allow
payák	simple, mere, basic, with nothing added
payapá	peaceful, tranquil, placid
payapain	to pacify, to make peaceful
payaso	clown; buffoon
payat	thin, slender
payo	guidance, advice
payong	umbrella
payuhan	to advise
peklat	scar (galos, gasgas, dungis, batik)
pero	but
perwísyo	bother; damage
petsa	calendar date
pigá	squeezing out liquid by pressure
pighatî	anguish, torment, grief
pigil	detention, control, restraint
pigilin	to control, restrain, keep back, hold back
pigíng	banquet, feast
pihado	surely
pihikan	(píhik) choosy, fussy, fastidious, exacting (syn. mapili)
piitan	prison
pikón	quick to anger
pila	line, queue; ones place in line
pilak	silver (the metal)
pilapil	a dike, embankment
pílay	lame, limp, crippled; sprain, dislocation
pili	choice, selection
piliin	to choose
piliin sa	"choose from"
pilipit	wring, squeeze, twist; twisty, awry, contorted
pílit	forcing, coercing
pinag-aralan	have been educated; education (walang pinag-aralan -> without education)
pinaglahúan	fading point, place where something disappeared from
pinaglalaban	the cause that one is fighting for
pinagmumulan	a source
pinagtagpo	made to meet
pinagtatawanan	is being made fun of
pinagtawanan	made fun of
pinagtulungang	to collaborate
pinakahuli	very last; very latest (as in latest news)
pinakamadalas	most often
pinakamagaling	the best, unequalled
pinakamarami	the most/highest number
pinakamatanda	oldest
pinakapiligroso	most dangerous
pinangyarihan	place where incident occurred
pinapasok	to allow to enter
pinapuntá	(ng) sent (ang) somewhere
pinatakas	allowed to escape
pinauso	brought into vogue
pindot	squeezing
pinggan	dish, plate
pingkók	having a bent lower part of the arm
pinigilan	stopped from doing something
píno	fine, delicate, thin, light
pinsala	damages, losses, harm
pínsan	cousin
pintíg	throb, pulse
pintô	door
pintuan	doorway
pintúra	paint
pípi	mute, unable to speak; utal, umid, apaw; hindi makapagsalita
pipino	cucumber
pira-piraso	pieces, bits, fragments
piranggót	a small piece or small amount
piraso	piece, bit, fragment, portion
pisì	twine
pisngí	cheek
pitágan	deference
pitak	portion, segment, partition
pitaka	wallet, purse, billfold
pitikín	to flick
pitpit	flattened by beating, pounded
pítsa	gambling token
pitsel	pitcher
piyansa	bail
plantsa	flatiron, clothes iron, laundry press; thin, flat sheet or piece of metal; scaffolding
plántsahín	to iron something (clothing)
podér	power; authority
polusyon	pollution
poók	place, site
pook-pamilíhan	literally “marketplace”
Poón	Lord; God; Master; (shortened form of "Panginoon")
porké	just because (from Spanish porque 'why')
porké't ba	just because so and so...
porsiyénto	percent (syn: bahagdán)
pósas	handcuffs
poso	a well
posporo	matches
poste	a post (of wood, etc.)
prangka	frank, sincere, plain-spoken
praníng	"paranoid" (newish colloquial term)
premyado	awarded a prize
preno	brake
presko	fresh, cool (ref. to weather)
preso	prisoner
prito	fried
proseso	a process
pruweba	proof
publikano	tax collector (biblical term)
pucha	damn! (aka putsa)
pudpód	blunt, not sharp
pugad	nest
pugante	fugitive
pugón	stove, oven, furnace
pugot	decapitated
puhúnan	investment
púkot	drag net; trawl; deep sea fishing net; uri ng lambat na ginagamit sa malalim na bahagi ng dagat
pukpók	bang; hammering; beating; pounding
pukol	throwing, hurling; a shot (e.g. in a ball game); hitting one thing with another, end on end
pukyutan	bee, honeybee
pulá	red
púlas	pagtakas nang mabilisan
pulbura	gunpowder
pulbusán	to powder something
pulgada	an inch
pulido	polished
pulô	island
pulong	meeting
pulós	all of the same kind; completely
pulot	picking up from the ground; honey, syrup
pulsó	wrist
pulubi	pauper, mendicant, beggar (magpapalimos)
pulupot coil, twine, entwine, wrap (also palupot)
pumadyak	to stamp the feet
pumalit	to substitute for
pumanaw	to leave, depart; die
pumapatungkol	regarding, referring to (ito ay pumapatungkol sa..)
pumara	to stop or hail something, like a taxi
pumasok	entered, attended
pumayag	agreed, consented
pumili	to choose
pumitík	to snap one's fingers, to topple or push with a flip of the fingers mamitik, pitikin (mang-:-in)
pumuwesto	to take a position
puná	criticism, remark, observation
púnong-kahoy	tree; tree trunk; wooden tree (in contrast to, for example, a palm tree)
punò	tree; chief, leader; origin, source, base
punô	full, filled
puno't dulo	start and end, start to finish
puntahán	to go to a person or place
puntód	mound; tomb
puntó	(speaking) accent, intonation
punto	point
puntos	"points" a numerical score or record, such as points in a game, etc.
pupulsuhán	wrist
puri	praise
puro	pure, unmixed; entirely, all (puro reklamo ka -> all you do is complain)
purók	district (smaller than a barangay)
purong-puro	very pure
púrsigido	persistent
pusa	cat
pusakal	street cat
pusang kalye	street cat
pusit	squid
puslít	smuggling, low-key escape: squirt, spurt
pusò	heart
punô	a bundle of rice (or something like that)
pusod	navel, bellybutton; hub; deepest part of a body of water
pusód	hair bun, topknot
pusón	abdomen
puspusan	fully, completely, thoroughly
puspusín	to complete, make complete
puta	used as general curse (fuck, etc.), literally: whore
putahe	viand; dish; course (part of a meal)
putang iná	"fuck you", your mother is a whore
putî ang tiyán	selfish
putik	mud (often used as an inoffensive substitute for the word puta)
putikán	a muddy place
puto	white cake made from rice flour
puto maya	is made by steaming glutinous or sticky rice and coconut milk ("fake" puto)
putók sa buhò	"sprout from bamboo" anak sa labas
putong	crown, head covering, turban
putók	blast, explosion; body odor (slang, eg "may putók")
putók batok	a meal that may cause you to have a heart attack or stroke
putól	cut (adj)
pútol	cut (noun, verb)
putaa	damn! (aka pucha)
púwa	lagsák o paglagsak (pagtatambak ng maruruming bagay)
puwáng	gap (space)
puwéde	can, possible (usually has an element of seeking or granting permission, kaysa sa ability)
puwera	not included, except, excepted
puwersa	force, strength, pressure (also 'pwersa')
puwersahin	to force
puwesto	place, position (lit/fig), position of employment
puyát	sleepless, lacking sleep, exhausted from lack of sleep
puyátin	to keep someone up at night
puyó	cowlick; tuft
pwersa	force, strength, pressure (also 'puwersa')
rámbol	fight involving multiple participants
rambolan	a rumble, to rumble (rámbol)
ranggo	rank
rebulto	statue
reklámo	complain
repaso	review, going over
repolyo	cabbage
reseta	prescription
resibo	receipt
ríles	rails, train rails, railroad rails (sp. carriles)
rin	also, too; anyway, regardless; (with adj.) to some extent (see "din")
rosas	pink
sa	on, to, toward, at, in, with, of, the, next, by, during, for, from, into, onto, through (by means of), upon
sa	to, by, in, on, with, from, for, etc.
sa dako	toward, in the direction of
sa halip na	instead of (imbes na)
sa ilalim	under (lit/fig)
sa kabilâ ng	in spite of 
sa kabiláng dako	on the other hand, alternatively
sa kabuuan	altogether; for the most part(?)
sa kanan	on the right
sa kanino man	whomever
sa kasalukuyan	currently
sa kasamaang palad…	unfortunately…
sa katunayan	in fact, actually
sa lalong madaling panahon	the earlier the better (as soon as possible)
sa may	near, somewhat/somewhere near, in (as in sa may Tagum City "in Tagum City")
sa pagitan ng	between
sa pamamagitan	with the use of, by means of, via
sa pangkalahátan	in general
sa puhunan	at cost
sa una	at first
sa wakás	finally
saan	from/in/at/to what place, where, whereupon
saan	sa- -an. -an refers to place where an action takes place 
saan man	wherever
saan-saan	in/at what place; everywhere
saanmán	everywhere
sabá	a type of banana
sabád	interruption, interrupt
sabagay	in any case, in that case, anyway, after all, the main point is, have a point
sabák	blind attack on someone or something
sabat	interrupt
sabatin	to interrupt
sabáy	simultaneous, concurrent; to go together/accompany
sabáy-sabáy	all at the same time
sabayán	to accompany
sabi	to say
sabihin	to say, to tell
sabík	eager, keen, yearning
sabit	hanging; snagging, being caught
sabláy	hard quick but indirect blow with the fist; speed; swiftness (e.g. of a small boat); innuendo, insinuation, swindle
sabláy	missed, didn’t hit the target, out of sync
sabog	explosion, scattering
sabón	soap
sabong	cockfight; cock-fight
sabungan	cockpit (cockfighting gallery)
sábunután	hair-pulling quarrel
sadlák	falling into shame
sadyâ	intent, purpose, aim; intended; purposefully, intentionally
sagabal	hindrance, obstacle
saganà	labis-labis ang dami
sagasà	to run over
sagasain	to run over someone/something
sagip	rescue, save
sagísag	symbol
saglit	instant, moment
saglitan	briefly
sagót	answer
sagrado	sacred, belonging to God, holy
sagutin	to answer something
sagwâ	vulgarity, obscenity, in bad taste
sagwán	paddle (as for a raft)
sagwíl	barrier, obstacle
sahig	floor
sahod	salary, wage
sáhod	open hands used to catch a falling object
saká	also, and then, besides, moreover, furthermore, and then, afterwards
sáka	agriculture, farming
sakâ na	some other time
sakalì	in case, if; perhaps
sakáy	passenger, load
sákáyan	loading place
sakim	avaricious, covetous, greedy, selfish
sakla	gambling game with Spanish cards
sakláw	amount, extent, limits; precincts; range; sphere; comprehension
sakláy	crutch
saklób	concave lid; face-to-face
saklolo	succor, aid, help
saknong	stanza; section of a ricefield assigned to one for harvesting
sakop	territory over which jurisdiction extends; person who is under the power of another, vassal; conquest
sakote	catch, arrest
saksí	witness
saktán	1. to be hurt by <ng>; 2. to have a pain in (adjunctive, no actor complement/adjunct)
sakunâ	accident, mishap, calamity
sala	fault, error, mistake, blame, sin; miss (failure to hit)
salâ	broken, dislocated (bones)
salakay	an attack/assault/invasion
salakayin	to swarm/raid/attack something
salakót	native hat made of nipa palm
salamángka	magic
salamin	mirror, glass, crystal; eyeglasses ("salamin sa mata")
salamuha	act of mingling with people, hobnobbing, talking intimately with
salangsáng	to oppose, contravene, resist, defy, counteract, oppose
salanta	badly injured or damaged, weakened
salapi	money, currency
salawal	underwear
salbáhe	naughty
sali	participation
salígan	batayán
saligang-batas	national constitution
salik	component, part, constituent, ingredient; cause, motive, factor
salisi	alternately, in opposite directions
salitâ	word; language; talk
salitain	to put into words
salóp	a quantity or container of rice (also: ganta (dry measure of 3 liters))
salot	epidemic, pest, plague
salpók	collision, impact (syn of banggâ)
salpukan	collision
saltík	crazy
salubong	welcome, reception
salubungin	to welcome
salúkoy	root of kasalukúyan. root word not commonly used.
samâ	bad, evil, wicked
sáma	to go with, join, accompany
sama-sama	together (multiple)
samahan	to accompany someone
samakalawá	on the day after tomorrow (sa makálawá)
samakatwíd	therefore
samantala	meanwhile, while, for the time being
samantalá	to capitalize, take advantage of
samantalahín	to take advantage of
samantálang	whereas
sámbahayán	household
sambóng	a shrub that grows wild in tropical climates and is used as herbal medicine
samo	supplication, appeal, entreaty, earnest request
sampalataya	faith, believing (sanskrit origin)
sampalok	tamarind
samsám	confiscation, seizure
sana	I hope, I wish; was going to, but; should (not) have
sanay	practice
sanáy	skilled, proficient, used to
sanayan	a place for practice
sanaysáy	an essay
sandaigdigan	sansinukuban, sanlibutan, sangnilikha, sangkinapal, sangkalikasan, santinakpan
sandali	moment (dali)
sandamakmak	lots of (idiomatic) sangkatutak
sandata	weapon; arms; ammunition
sándo	jersey (as in basketball jersey)
sangá	branch
sanggol	baby, infant
sanggunián	reference; mutual consultation;	consultancy firm; consultation hour
sangkalan	justification (dahilán)
sangkáp	ingredient, part, element, aspect
sangkataúhan	mankind, the public
sangkaterba	lots of, plethora, countless
sangkatutak	lots of (idiomatic) sandamakmak
sangkót	implicated, linked
sanglinikha	universe, all creatures
sangsang	strong but not unpleasant odor
sanhî	cause, motive, reason; syn for "dahil" in more formal use
sanhi ng	caused by, due to
sansinukob	the universe
santól	a type of fruit with a yellow/orange exterior and white interior, also known as cotton fruit
sánlibután	universal (katoliko)
sapa	small stream, brook
sapagkát	because, since
sapák	hit, punch, smack, beat
sápit	arrival
sapitin	to result in something; befall; to reach a place
saplot	dirty or tattered clothes
sapok	a hit, punch (buntal, bigawas, suntok, dagok, dunggol)
sapól	at the very beginning; hitting a target; straight, direct (also sapúl)
sapúl	since; to hit a target (syn. tamaan) (also sapól)
sará	closed; to close
sarado	closed
sarangola	kite
saráp	tastiness, deliciousness
sarili	self; private
sariling	one's own
sariling atin	our own
sariwain	to refresh, to recall something
sasabay	will go together
sasakyan	will ride (sakay)
sasakyán	vehicle
sasáma	will join/accompany
saserdote	priest
sawà	satiated, fed up
sawâ	python
sawáy	prohibition, restraint; reprimand, rebuke
sawayin	to reprimand, restrain
sawî	to die or suffer misfortune; ill-fated
sawing-palad	unlucky, unfortunate
sawsaw	dipping/dunking of food in sauce/etc.
saya	skirt
sayá	joy, happiness, fun
saya-saya	very happy
sayáng	waste; sayang! What a loss/waste/pity!
sayaw	dance
saysáy	statement; value
sebo	grease, fat; tallow; suet; shoe polish
sekyu	security guard (also "sikyo")
seldâ	cell, small room as in a jail, convent, etc. [coll.]
selos	jealousy
sentido komun	common sense
sentro	the center; central (to)
senyales	sign (senya)
sényas	sign, signal
serye	series
si	name marker, marks name of anything with a personality
sibà	glutton
sibák	chopping wood with an axe. slang for firing someone.
sibásib	ravaging, viscious animal attack
sibát	spear, lance; [expression] to scram; to get out of here; to shoo; to jet
sibuyas	onion
sidlan	to fill a container
sigà	bully
sigâ	blaze; bonfire
sigalót	quarrel, dispute, alitan, kagalitan, hidwaan
sigaw	shout, scream, yell
sige	go on, go ahead, proceed, continue part. go on, proceed, continue
sige na	an expression of beseeching someone to fulfill a request: pretty please!, come on!, go on!
siglá	liveliness, enthusiasm, zip, eagerness, warmth, exhilaration, initiative
siglo	century
siguro	maybe, perhaps, probably
sikap	diligence, hard work
sikapin	to endevour/strive to do something
sikat	rising
sikát	popular, famous
síkat	shining (as the sun)
sikil	pushing; jostling (esp. with elbows/shoulders); oppression, ill-treatment
sikil	oppressed, ill-treated
sikilin	to suppress something
sikíp	tightness
sikláb	blaze, flame
siklista	bicyclist
sikmát	sudden bite (by a dog, etc.); rebuke; pagsiba-sib ng kaaway, lalo na ng mababangis na hayop; pabugso-bugsong pagsinghal ng isang nagagálit
sikmatin	snatch like a dog does; speak quickly and sharply; snap
sikmurà	stomach, upper stomch
siko	elbow
siksik	crammed, tightly packed
siksíkan	packed, crowded
sila	they
silaban	set on fire
silang	birth, appearance, rising as of the sun
siláng	mountain pass
silát	slit, aperture, opening, crevice, gap (also siwang)
silaw	a glare
silíd	a room
silíd-tulugán	bedroom
silip	to peek, peer
silya	chair
silyón	easy-chair
símoy	wind, breeze
simutín	to consume something
sinag	ray of light
sinamahan	accompanied
sinangág	fried rice
sinayang	(verb) wasted something
sindi	lighter, a thing that lights
singa	act of blowing one's nose
singáw	steam, fog
singganda	as beautiful as
singhap	loss of breath, gasping for breath
singíl	price quoted, charge, collection of payment of debt (-um-:-in)
singkahulugan	synonym
singot	inhale, langháp
singsíng	a ring (jewelry)
sinibak	fired, dismissed, axed (slang)
sinigang	meat or fish stew with condiments
siniko	elbowed
síning	art
sinisi	blamed
sino man	whoever
sinsín	density of growth; closeness of weaving
sinta	an old-fashioned word for 'love/dear' as in 'my love/dear'
sintabì	"Excuse me, passing through"; salitâng-ugat ng pasintabi at nagsasaad ng paggálang, lalo na kung humihingi ng pahintulot
sintunado	out of tune, off key
sinturón	a belt
sínu-sino	who (plural) also "sinu-sino"
sinulid	thread
sinungaling	liar; lie
siopao	"meat bun" (comes from chinese)
sipa	kick (with the foot); game using a rattan ball
sípag	diligence, hard work
sipat	looking to see if it is straight or level; act of sighting or aiming (with a gun, etc.)
sipatín	to line up something in one's sights, to aim for or at something
sipón	a cold
sipot	arrival
sirà	break, damage, ruin (milder than wasak)
sirâ	broken
siraulo	brain-broken (crazy)
sirit	sizzling sound; gurgling sound of liquid; hissing sound;  squirt of a liquid
sisánte	dismiss, sack, fire (also sisánti)
sisi	remorse
sisidlán	container, vessel, receptacle, closed container, vial; containment
sísig	a dish from the chopped parts of a pig’s head, ears, cheeks, snout, heart and, brain
sisiw	chick, a young chicken; easy (slang)
sitá	questioning, interrogating
sitahín	to question or interrogate someone
sitserya	junk food (typ pron "chitcherya")
sitsít	gossip;  sound made in calling somoene by repetition of the sound of "s" (ssssss)
siwalat	to disclose, reveal, confess
síwang	gap, opening, slit
siyá	he, she, it; sufficient; pleasure
siyá nawâ	amen
siyangá	of course, indeed
siyangá palá	by the way
siyento	hundred
soberanya	sovereignty
sóbra	too much, excessive; intense
sobre	envelope
sona	zone
sopas	soup
sorpresahin	to surprise someone
spongklong	stupid (slang, new)
storya	story (istorya)
subali	objection or reservation; but; only
subalit	but, however (subali't)
subok	trying, trial, test, experiment; proven
subúkan	to try/test something/someone (all meanings of "try")
sugál	gambling
sugapà	addict
sugaról	gambler
súgat	cut, sore, wound
sugatán	wounded person, casualty
sugnáy	clause (grammatical)
sugò	delegate, messenger, envoy, ambassador, emissary
sugod	to dash at, to rush forward
sugudin	to rush, lunge forward
súka	spew, vomit
súka	vinegar
sukab	treacherous, traitorous, perfidious
sukal	garbage, flotsam, dirt
sukat	size, measurement
sukátin	measure
sukdúlan	utmost
suklay	comb
suklî	the change that you get back from a monetary transaction (Chinese origin)
sukò	to give up, surrender
sukob	sharing cover/shelter (umbrella, shed, blanket, etc.)
sukol	cornered, driven into a corner
sulat	writing, letter
súliranin	a problem
sulit	worth it, a good deal; a test
suló	binti ng hayop; pagkasilaw; baluktot
sulok	corner, including metaphorically, eg "lahat ng sulok ng pilipinas": every corner of the philippines
súlong	advance, progress (as military); go ahead!
sulpót	to emerge suddenly or unexpectedly
suma	sum
sumábad	to interrupt or butt in
sumabit	to get lodged, caught
sumailalim	to go under, to submit
sumailalim	to undergo (sa-ilalim)
sumakáy	to ride
sumalang	to touch lightly (sumasalang, sumalang, sasalang)
sumali	to join, participate
sumama	to go with, join
sumampá	to climb over, to mount
sumapì	to join
sumapit	to arrive; to have the time arrive; to reach; to reach a destination (sapit)
sumasailalim	comes/falls over the purview of
sumaya	to cheer up
sumbóng	complaint, accusation
sumigaw	to shout, scream, yell
suminsín	to become dense
sumipot	appear, arrive, show up
sumisinsin	is becoming dense
sumite	submit
sumpak	a homemade firearm; a fire piston (device used to kindle a fire)
sumpungín	to suffer an attack of something (a sickness, heart attack, etc.)
sumugod	to attack, impulsively go forth
sumuka	to vomit
sumukò	to give up
sumulpót	to emerge; to appear unexpectedly
sumuway	to disobey, violate, oppose
sundálo	soldier
sundin	to obey (sunod)
sundô	fetch someone from somewhere
sundót	poke, jab
sungay	horn, antler
sunggáb	grab, seize	
sunggabán	to grab/seize/clutch something
sungkit	picking/choosing, origin: using a pole to pick fruit
sunod	follow; next
sunúd-sunód	chronological, successive, consecutive, one after the other
sunóg	burnt
súnog	fire
sunok	surfeit, excess (food, drink, etc.)
suntók	a fist punch
sunud-sunod	sequence, order; repeatedly
suóng	matapang na pagharap sa anumang balakid, suliranin, o laban
suót	clothes
supalpál	something covering or forced into the mouth; a block in basketball
suplada	snob; snobbish
suplado	snob
suplíng	offspring
supot	bag
suri	analysis, diagnosis, scrutiny, study, test
súrot	bedbug
sustento	allowance, support (magsustento, sustentuhan, sustentuhin)
suutan	to dress someone
suwag	butting with horns (as a kalabaw)
suwaíl	disobedient, insolent, hardheaded, stubborn, rebellious, defiant
suwéldo	salary, pay (also 'sweldo')
suwero	serum
suwerte	luck, fate
suyà	disgust, dissatisfaction; to feel disgust, be fed up with
suyod	fine-toothed hair comb
suyód	thoroughly searched
syonget	ugly
syotà	lover (slang) from the English phrase "short time" (usually not serious); girlfriend/boyfriend; fling
taál	native, original
taás	height
tabâ	fat
tabangan	to make less salty
tabí	side
tabla	a board (thin piece of wood), timber, logs
tabla	even, neck and neck as in a race, draw (in a match, etc.)
tablan	affect sharply with feelings; have an effect on (tinatablan, tinablan, tatablan)
tabo	a dipper, scoop, usually a coconut shell or an empty can (magtabo, tumabo, tabuin)
tadhana	fate, destiny
tadtád	chop finely, mince
tadtád	cover with (overwhelm)
tadtarin	cover, overwhelm
tadyak	backwards kick
tadyáng	rib
tadyáng-anuwáng	a species of tree; tree; timber; wood
taga-parusa	punisher
tagahánga	a fan (of something/someone)
tagakták	dripping sweat, dripping tears, pouring sweat, pour tears
tagál	(long) duration
tagalapat	administrator
tagalikha	producer, creator
tagalinis	a cleaning person, person who cleans
tagapagdaloy	facilitator
tagapagpadaloy	facilitator
tagapagsanay	trainer
tagapagtaguyod	sponsor, suppporter
tagarito	local, resident, "from here"
tagasaan	from what place?
tagatuós	an accountant
tagausig	prosecutor
tagay	a toast in drinking; term in Batangas for a little girl
taghóy	lament
tagilid	tilt, slant
tagiliran	side; boundary; either side (eg, left or right) of something
tagísan	a competition, esp. regarding intelligence/wits
taglagás	autumn
tagláy	possessing, possessed
tagò	hide
tagò ng tagò	(TNT) illegal immigrant
tagós	penetrating (adj)
tagpô	scene, circumstances
tagpuan	meeting place, rendezvous
tagpuín	to go and meet
tagumpáy	victory, success, triumph, overcoming
tagurian	to give a name/nickname to (tinagurian, tinatagurian, tatagurian)
tagusán	to pierce
tahak	taking a shortcut; cutting through; exploring
tahakin	to go on a challenging path
tahanan	residence; reside in, live in (emphasis on the place)
tahás	assigned task; specific duty; direct, specific ("ang tahas na pagsasalita ni Boris")
táhasan	active; directly
tahól	bark, as of a dog (also kahol)
tahô	a sweet snack made with soft tofu, sago/tapioca pearls, and a caramelized sugar syrup
taimtím	sincere, fervent, solemn
tainga	ear (normally said as "tenga")
taká	puzzlement, surprise
takád	stamping of feet in anger or protest
tákad	base, foundation, system (batayán)
takám	smacking one's lips; craving
takamín	to tantalize
tákas	escape, flee (itákas, takásan, tumákas, pagtákas)
takásan	to escape, flee
takbo	run; operating, as of machinery eg. a clock
takdâ	measure, limitation, limit, restriction; stated, limited, restricted
takdang-aralin	lesson assignment (school homework)
takdang-araw	assigned date
takdang-oras	time limit, death
takíp	cover, lid, cap (takíp)
takíp-matá	eyelid
takip-silim	twilight, dusk (takipsilim)
takipan	(n) covering up faults (takíp)
taklesa	tactless, shameless (slang)
takot	fear
takót	scared, fearful
takpán	to cover something (takíp)
taksil	not to be trusted; traitor; traitorous
takutin	to frighten
takwíl	renunciation
talâ	a list, record; notes
tála	star
taláhib	tall grass
talahuluganan	glossary
talakay	discussion
tálakayán	discussion
talakayin	to discuss
talamák	serious, critical, hard to cure; fallen; addicted
talampakan	sole of a foot; 12 inches; a literal foot ("paa")
talangkâ	crab
talasalitaan	vocabulary
talím	blade; knife or dagger blade; edge; point
talíno	smarts, talent
talinghagà	metaphor, aphorism
talipapâ	a temporary market (esp.for fish)
talipapang bayan	a public market
talipapang gala	a traveling wet market
taliwás	deviating from a rule or pattern, contrary to, opposite
talo	defeated, losing
talón	jump
talóng	eggplant
talukap	eyelid
talumpati	speech, oration, address
talunan	underdog; beaten, defeated (talo)
talunin	beat, defeat (talo)
talyér	repair shop
tamà	right, correct; exact, accurate, precise; fitting, proper
tamaan	to hit a target
tamád	lazy, indolent
tamán	persistent attention, focus
tambak	embankment, terrace; mound, pile; piling up of papers, etc.
tambák	pile, mound
tambakan	place where something is piled
tambál	pair
tambalan	a pairing
tambalang-salita	paired words, compound words
tambáng	ambush
tambángan	ambush
tambay	instantly, immediately; consumed, finished; killed instantaneously
tamból	drum
tamis	sweetness; pleasure
tampisáw	splashing/playing in water
tampó	sulking
tampók	center of attraction
tanán	madla, lahat, bala na, pawa, all, everyone, entire, whole
tanáw	view
tandâ	sign, mark; signal; evidence
tandaan	to remember
tangáy	carried away (by force, seizure, abduction, mouth)
tangáy	carried away (by wind, current, bird or prey, or emotions)
tange	stupid (less harsh than tanga) also "tangi"
tangengot	stupid
tanggál	remove by unfastening, detaching
tanggalín	to detach, to loosen, to take off, to eliminate
tanggap	to accept, receive (in-, ma-, mag-)
tanggí	refusal, denial, negation
tanggúlan	fortification
tanghál	to be shown, on display
tanghalan	exhibition
tanghali	noon; to be late in the morning
tangì	only, particular; exceptional, special (syn. bugtóng)
tangkád	tallness and slenderness
tangkaíng	to attempt something
tangkáy	stalk, stem
tangkíl	gentle or delicate handling; gentle grasp; delicate touch; light hold
tangkílik	tagúyod
tangkilikin	to patronize, as in a business, etc.
tangó	nod
tanikalâ	chain
taním	a plant; ill-feeling planted in the heart, grudge
tanod	guard
tanong	question (usisa, kuwestiyon, interogasyon)
tansô	bronze,brass; deception
tantán	a stop or act of stopping, halt, stop, cessation
tantanán	to leave something/someone alone, to stop with someone, to stop doing something (tantan)
tantô	realize, understand
tanyág	famous, celebrated, well-known; distinguished, eminent; illustrious
táo	person
taón	year
taós	sincere; sincerely
taos-pusò	sincere, heartfelt
tapang	bravery, courage, strength, valor; strength of flavor
tapát	honest, upright, honorable
tapát	the place in front, that which is across, in front of
tapayán	clay jar
tapil	short stick for digging the ground
tapíl	having a flattened forehead; flat-nosed
tapon	to throw (away); to be spilled (Tumapon ang gatas. The milk got spilled)
tapos	then; "Additionally.."
tapós	to be finished with something
tápos	then; done, complete, finished
tará	"let's go"; term for bribes made to Customs officials
tarakan	to stab with (a knife or dagger)
taranta	confusion, bewilderment
tarantá	disconcerted, perturbed, upset; confusion, bewilderment; di-malaman ang gagawin, magulo ang isip; matulig, matuliro, malito
tarantádo	foolish, shameless, disrespectful; moron, asshole
tarantahín	to confuse, baffle, bewilder
tása	a cup; estimate, assessment
tastás	unravelled, unravelling, unstitched, falling apart (clothing or cloth)
tatág	establishment, stability; solidarity, security; established, organized
tátawanan	will laugh at
tatay	father
tatlóng-kalimá	three-fifths
tatsulok	triangle
tauhan	underling, staff, personnel; character in a performance
taunan	annual, yearly
tawad	discount, bargain; forgiveness
tawag	calling (all meanings)
tawagin	to call someone something (focus on "someone"), to call someone, to summon someone
tawanan	to laugh at
táwas	nakaiwas, nakalaya, o nakaligtas mula sa sumpa o kamalasan.
tawás	alum
tawíd	crossing
táwiran	crossing point, crosswalk
tayâ	bet, stake
tayô	stand, build
táyo	inclusive we
táyo-tayo	just us (inclusive)
tayútay	figure of speech
tela	cloth, fabric, textile
téma	theme
tematiko	thematic
tenga	ear
terno	matching items, set, suite; matching
testigo	witness
tibay	sturdiness
tibò	matalim at matulis na organ ng ilang kulisap, gaya ng bubuyog o ilang uri ng isda, at ginagamit bílang proteksiyon.
tigang	very dry (soil); barren
tigás	hardness, toughness, stiffness
tigdás	measles
tigil	stop, pause
tigmák	saturated, babád, lubhang basâ, gaya ng tao na tigmak sa ulan, o pader na tigmak sa pintura
tigok	sound produced in the throat by swallowing
tiím	nakaimpit ang labì, ngipin, o bagáng sa pagpipigil o pagtitimpi ng galit o sakít
