(mga) baryá	coins
Sana hindi makapinsala ang paparating na bagyo.	One hopes that the coming storm won’t do damage.
Sana huwag kang tamarin.	I hope you don’t get lazy.
Sana magkaroon ng katarungan.	I hope there will be justice.
Sana magkasama tayo.	I wish we were together.
Sana maintindihan mo and sitwasyon ko.	I hope you understand my situation.
Sana makakuha ako ng trabaho.	I hope I’ll be able to get a job.
Sana makapunta ako sa talipapang ganyan araw-araw!	I wish I could go to a market like that everyday!
Sana makita kita.	I hope I’ll be able to see you.
Sana makita ko ulî sila.	I hope I get to see them again.
Sana makita mo ako.	Hope you’ll be able to see me.
Sana makita mo ang mundo ko.	I wish you could see my world.
Sana ma-meet kita sa Roma.	I hope I can meet you in Rome.
Sana maramdaman mo ito.	I hope you feel this.
Sana masisante agad si Pedro.	Hope Peter gets fired quick.
Sana mauli mulî.	Hope it happens again.
Sana maunawaan mo…	I hope you understand…
Sana mayaman ako.	I wish I were rich.
Sana nandito ka.	I wish you were here.
Sana nga…	“I do hope so…”
Sana sumama ka.	I wish you’d come.
Sana suwertehin ako.	I hope I get lucky.
Sana umulan.	I hope it rains.
Sana…	“Hopefully…”
Sanáy akong mag-Ingles.	I’m proficient in English (because I’m used to using it).
Sanáy akong maglaba.	I’m proficient at doing laundry (from having done it a lot).
sanáy	skilled, proficient, used to
sanayan	a place for practice
sandaanlibo	hundred thousand
Sandali lang. Kailangan ko munang basahin into.	Wait a second. I need to read this first.
Sandali lang.	Just a moment.
sandali	a second
sandali	an instant
sandali	moment
sandata	weapon
sandatahan-lakás	armed forces (military)
sangay ng puno	branch of the tree
sang-ayon	willing, in agreement with
sanggol sa sabsaban	baby in the manger
sangkáp	ingredient
sangkáp	part, element
sangkataúhan	humanity
sangkataúhan	mankind
sangkót: sumáma o mapasáma sa isang pangyayari na maaaring magwakas sa	tagumpay o sa kapahamakan
sanglinikha	universe, all creatures
sanhî: isang tao o bagay na nagdulot ng isang kilos, kalagayan, o	pangyayari; dahilan
sanhî: simulain, layunin, o kilusan na handang ipagtanggol o isulong ng	isang tao dahil sa kaniyang mahigpit na pakikiisa
Santambak ang trabaho ko.	I’ve got loads of work.
santambak	a big heap
saog, ilug-ilugan, batis, batis-batisan; bagas, bagaso; sapal,	pinamangusan
sapa	brook
sapa	small stream
sapang tuyo	dry brook
sapì	business stocks
sapì	ply
sapì	reinforcement
sapól	at the beginning
sapól	ever since
Sapul nang dumating si Anita sa Maynila…	From when Anita arrived in Manila…
sará	closed
Sarado ang bangko.	The bank is closed.
Sarado ang pinto.	The door is closed.
sarado	closed
sarap	delicious
saráp, n	tastiness, deliciousness
sarat na ilong	a flat nose, a snubnose
sarili	self
sariling atin	our own
sariling sikap	slang for masturbation
sasabay	will go together
sasakyán	vehicle
sasakyan	will ride
Sasama ka ba sa kanila?	Are you going along with them?
Sawa na ako sa iyo.	I’ve gotten tired of you.
sawá	python, boa constrictor
sawà	satiated, fed up
Sawayin mo ang bata.	Reprimand / Restrain the child.
sawikain	proverbs
sawing-palad	unlucky, unfortunate
sayang puti	traditional skirt that’s white in color
sayo (sa iyo)	to you
Sayo ba to? (Sa iyo ba ito?)	Is this yours?
seladór: noong panahon ng Español, ang pandistritong inspektor ng mga	pulis sa lungsod; o inspektor ng kapatirang panrelihiyon
selebrasyon, pagtatanghal, pagpipista, paghahanda, pagsasaya,	pagbubunyi
Separate from above, the word silang is also a conjugated form of	sila (they).
Separate from above, there is the word malaman (to know), which has	the inflected form malamang.
serpiyente: isang uri ng hayop na may makaliskis at mahabang katawan,	gumagapang sapagkat walang paa, at my sanga-sangang dila
shonget / syonget / ma-kyonget	ugly
Si Ana, umaming buntis.	Ana admitted that she’s pregnant.
Si Apolinario Mabini ang tinatawag na Utak ng Rebolusyon.	Apolinario Mabini is called the Brains of the Revolution.
si dating Pangulong Aquino	ex-President Aquino
Si Jose Rizal ang pambansang bayani ng Pilipinas.	Jose Rizal is the national hero of the Philippines.
Si Pedro ba ang tinutukoy nila?	Is it Peter they’re referring to?
Si Pedro, umamin na!	Peter has confessed already!
sibák	chopping wood
sibakin: biyakin, tilarin ang kahoy sa pamamagitan ng paggamit ng	palakol o gulok
sidlan	to fill a container
sigaw	shout, scream, yell
Sige, magpanggap ka lang na masaya ka. Tutal, diyan ka naman magaling.	Go ahead and pretend you’re happy. Anyway, that’s what you’re good at.
siglá	energy
siglá	enthusiasm
siglá	verve
sigurado, nakasisiguro; tinuturol nang lubusan, walang pasubali o	alinlangan
Siguro ayaw niya ng karne.	Maybe she/he doesn’t like meat.
Siguro nagalit ang tatay mo.	Your father must have gotten angry.
Siguro umulan.	It probably rained.
sikap	diligence, hard work
sikapin	to try, seek
Sikát ako sa Pilipinas.	I’m famous in the Philippines.
sikíp	tightness
sikláb	blaze
sikláb	flame
sikong kulubot	wrinkled elbow
siksik	crammed, tightly packed
Siksikan ang mga tao.	The people are all crowded.
siksikan ng tao	crowded with people
siksikan	crowded
Sila ang may problema!	They’re the ones with a problem!
Sila ang pangalawa.	They are the second.
Sila ay hindi nagsalita.	They did not speak.
Sila ay nasa aming mga dasal.	They are in our prayers.
Sila ay tumakbo nang mabilis.	They ran fast.
Sila ay tumakbo.	They ran.
Sila mismo ang nagluto ng kanin.	They themselves were the ones who cooked the rice.
Sila po ay nasa aming mga dasal.	They are in our prayers. (speaking to an older person)
Sila rin.	They too.
Sila’y malaot na’t di na matatanaw.	They’re far out already and can no longer be seen.
Silang dalawa ang nagsikap upang ako’y mabigyang buhay noong isang	panahong ako’y nalagay sa labi ng hukay.
silang	appearance, rising
siláng	mountain pass
silbi	service, utility
silid-aralan	classroom
silid-basahan	reading room
silid-dasalan	prayer room, oratory
silid-kainan	dining room
silid-tulugan	bedroom
Silipin mo.	Take a peek.
Simpleng Tao	Simple Person
Sinabi uli ng lalaki na hindi siya ang ama ng bata.	The man reiterated that he wasn’t the child’s father.
Sinabon ako ng titser.	The teacher gave me an earful.
Sinagip mo ako.	You rescued me.
Sinagot ko ang tanong.	I answered the question.
sinagot	to have answered
sinaklolo / sinaklolohan	rescued
Sinaklolo nila ang bata.	They rescued the child.
Sinalubong ko sila.	I came out to welcome them.
Sinamahan ko si Lola sa ospital.	I went with grandmother to the hospital.
Sinamahan ko siya.	I accompanied him/her.
sinapak	smacked
Sinasaktan mo ako.	You are hurting me.
Sinasalubong namin ang mga pumapasok sa opisina.	We come out to welcome those who enter the office.
sindí	to kindle
singil / singilin	hilinging bayaran ang utang
singil / singilin	kubrahin ang pagkakautang
singil	collection of a payment or charge
singkahulugan	synonym
Sinibak ang tatlong opisyal.	The three officials were fired.
sinibak	fired, dismissed, axed (slang)
Sinigawan nila ako.	They yelled at me.
siniko	elbowed
sinilip	peeked at
Sinira mo ang tulog ko.	You ruined my sleep.
sinira	ruined, destroyed
Sinisi nila ako.	They blamed me.
Sinisigawan ni Nanay si Pedro.	Mom is yelling at Peter.
sinisilbihan	is serving (someone)
Sinisinta kita.	I love you.
Sinisisi kita.	I’m blaming you.
Sinita ako ng pulis.	The police officer accosted me.
Sino ang amá mo?	Who’s your father?
Sino ang amá ng batang ito?	Who is the father of this child?
Sino ang ama ng pinagbubuntis mo?	Who is the father of the child you’re pregnant with?
Sino ang bunsô?	Who’s the youngest?
Sino ang kasunod mo?	Who follows after you?
Sino ang kasunod?	Who comes next?
Sino ang kauna-unahang presidente?	Who was the very first president?
Sino ang kumakatok?	Who’s knocking?
Sino ang magmamaneho?	Who will drive?
Sino ang mas matabâ?	Who is fatter?
Sino ang may pera?	Who has money?
Sino ang nakasaksi dito?	Who was able to witness this?
Sino ang nanalo? Sino ang panalo?	Who won? Who is the winner?
Sino ang saksí?	Who is the witness?
Sino ang susunod?	Who’s next?
Sino bang hindi kikiligin kung makita si Alden?	Who wouldn’t be tickled pink upon laying eyes on Alden?
Sino bang mali?	So who’s wrong?
Sino ka man	Whoever you are
sino man = sinuman, sinoman	who ever, whoever, whomever
Sinong abay mo?	Who’s your _______ ?
Sinong bumaril?	Who shot the gun?
Sinong gumamit nito?	Who used this?
Sinong gusto mong kausapin?	Who would you like to speak to?
Sinong kakagat?	Who will take the bait?
Sinong kasáma mo?	Who are you with?
Sinong mas matandâ?	Who’s older?
Sinong mas mayaman?	Who’s wealthier?
Sinong nagkasal sa inyo?	Who performed the marriage ceremony?
Sinong pinaka-mayaman?	Who’s the wealthiest?
Sinong sasagip sa akin?	Who will save me?
Sinong sumipot?	Who showed up?
Sinong susundo sa akin?	Who’s going to pick me up?
Sinong tatay mo?	Who’s your daddy?
Sinong tatay mo?	Who’s your daddy?
Sinong tinitingnan mo?	Whom are you looking at?
Sinong tinutukoy mo?	Whom are you referring to?
sinsín	closeness of weaving
sinsín	density of growth
sinsín: kalagayan ng anumang masinop ang pagkakadikit-dikit, gaya sa	sinsín ng paghábi ng tela o paglála ng banig
Sinta ko. = Aking sinta.	My dearest.
Sinuka ko ang almusal ko.	I threw up my breakfat.
Sinuklay ko ang buhok ni Lola.	I combed Grandma’s hair.
sinulit	made full use of
Sinundan mo ba ako?	Did you follow me?
Sinundan mo ba ang sinabi ko?	Did you follow what I said?
Sinungaling ka talaga!	You’re really a liar!
sinungaling	lie
Sinungaling!	Liar!
Sinungkit ko ang papayang ito.	I picked this papaya with a pole.
Sinuntok niya ako.	He punched me.
sinuri	analyzed
Sinusubukan ko.	I am trying (it out).
Sinusuklay ko ngayon ang buhok ni Nanay.	I am now combing Mom’s hair.
sinusulit	getting the most out of it
Sinuwerte ako.	I got lucky.
sinuwerte	to have experienced good luck
sípag / kasipágan: tuloy-tuloy na pagbubukás ng isip, lakas, at panahon	sa pagsasakatuparan at pagtapos ng anumang gawain
sípag	diligence
sípag	hard work
sipot	arrival
sira ang bait	insane
Sirâ ang makina ng kotse.	The car’s engine is broken.
sira ang tuktok	lunatic
sirà	break, damage
sirâ	broken
Sisánte Ka.	You’re Fired.
sisánte	dismiss, sack, fire
Sisibakin ka daw sa pwesto.	You’ll reportedly be let go from your position.
Sisihin mo ang ate mo.	Blame your older sister.
Sisipot ako, maliban kung umulan.	I’ll show up unless it rains.
Sisipot ako, maliban kung umulan.	I’ll show up… unless it rains.
Siya ang aking ina.	She is my mother.
Siyá ang mahal ko.	She/He is the one I love.
Siyá ay kaibigan ko.	She/He is my friend.
Siya ay nagsilbing nars na nag-aalaga ng mga sugatang sundalong	Pilipino noong kasagsagan ng yugto ng Rebolusyon sa Imus.
Siya ay nasa aming mga dasal.	He/She is in our prayers.
Siyá ba ang may kasalanan?	Is he the one at fault?
Siyá ba ang nobya mo?	Is she your girlfriend?
siya mismo	herself / himself
Siyá na!	Stop it!
Siyá nawa.	Amen.
Siya po ay nasa aming mga dasal.	He/She is in our prayers. (speaking to an older person)
Siyá si Gloria.	She’s Gloria.
síya: malukong na upuang karaniwang yarì sa matigas na katad at	inilalagay sa likod ng hayop na sinasakyan
siyá:: katagang ginagamit na pampalit sa pangalan ng tao na	pinag-uusapan
Siyanga pala…	By the way…
siyanga	of course, indeed
Sobra kitang minahal.	I loved you too much.
sobra	excessive
sobrang [66]timbang	overweight = obesity
Sobrang init sa Pilipinas.	It’s too hot in the Philippines.
Sobrang init.	Too hot.
sobra-sobra	way too much
Sori sa ginawa ko.	Sorry for what I did.
Sori, hindi ako puwede.	Sorry, I cannot be.
Sori, hindi ko kaya ito.	Sorry, I am not able to handle this.
Spelling variation of kabesa, a transliteration into Tagalog of the	Spanish word cabeza (meaning “head”)
Strictly speaking the Tagalog word din is spelled rin after vowels and	vowel sounds. But this is not always followed in conversation.
sú·long	advance, progress
su·wél·do	salary, pay
Subukan mo ito. Nakakatuwa.	Try this. It’s fun.
Subukan mo ito.	Try this.
Subukan mo ito.	Try this. (Taste this.)
Subukan mo lang.	Just try it.
Subukan mong bumangon.	Try to get up.
Subukan mong gawin ang sinabi ko sa iyo.	Try to do what I told you.
Subukan mong kumain.	Try to eat.
Subukan mong kumanta.	Try singing.
subukan	to try something out, to taste something
subukan	to try something, attempt
subukin	to try, to put someone or something to the test
súga: mahabàng lubid na itinatalì sa hayop kapag nais itong	makapanginain sa bukid o parang
sugaról	gambler
súgat	cut, sore
súgat: anumang hiwa, gasgas, saksak, at iba pa sa katawan lalo na kung	napinsala ang balát
sugatan	wounded person, casualty
sukaan	to add vinegar to
sukang maanghang	spicy vinegar
sukang puti	white vinegar
suklay	comb
Suklayin mo ang buhok ko.	Comb my hair.
Suklayin mo ang buhok mo.	Comb your hair.
sukò	surrender
Sulatan mo ako.	Write to me.
sulatin	to write
Sulit ba?	Is it worth it?
Sulit ito.	This is a good deal.
Sulit ito.	This is worth it.
sulitin	make the most of out
sulô: pantanglaw sa gabi na yarì sa buho at may damo o basahan sa isang	dulo para magningas
sumabay	to accompany
sumabit	to get lodged, caught
sumagabal	hindered, interfered, opposed
sumagabal	to hinder, interefere, oppose
sumagsag	to go somewhere in a hurry
sumailalim	to go under, to submit
Sumakay kami ng barkó.	We rode on a ship.
sumaklolo	to help, to aid
sumalangit	to have gone to heaven
Sumali ka.	Join in.
Sumama ka sa amin.	Come along with us.
Sumang-ayon ako sa sinabi nila.	I agreed with what they said.
sumang-ayon	to agree with, side with
sumasailalim	comes/falls over the purview of
sumaya	to cheer up
Sumayaw tayo.	Let’s dance.
sumbong	complaint, accusation
sumigaw	shouted, screamed, yelled
sumigaw	to shout, scream, yell
sumilang	to come forth, be born
sumingil	to collect or charge
suminsín	to become dense
Sumipot ka ba kagabi?	Did you show up last night?
sumipot	appear, arrive
sumipot: lumitaw, lumabas, sumilang, dumating, sumungaw, umultaw,	sumikat
Sumisigaw ako ngayon. Sa isip ko.	I’m screaming right now. In my mind.
sumisinsin	is becoming dense
sumisipot: lumilitaw, lumalabas, sumisilang, dumarating, sumusungaw,	umuultaw, sumisikat
sumite	submit
Sumosobra ka na.	You’re being too much now.
sumuka	to vomit
sumulat	wrote
sumuway sa kautusan	disobeyed the order
sumuway	to disobey
sumuway	to violate, oppose
sundálo	soldier
Sundán mo ako.	Follow me.
Sundán mo sila.	Follow them.
Sundán natin sila.	Let’s follow them.
Sundin ang batas.	Follow the law.
Sundin ang puso mo.	Follow your heart.
Sundin mo ang sabi ko.	Follow what I say.
Sundin mo ang utos nila.	Follow their orders.
sundin	to obey
sundô: pagtúngo sa saanmang kinaroroonan ng isang tao upang maisáma	siya sa pook na patutunguhan
Sungkutin mo ang mangga.	Pick the mango with the pole.
sunod	follow
Sunóg ang kanin.	The rice is burnt.
sunóg	burnt
súnog	fire
suntok sa buwan	punch at the moon
suntukan	boxing fight
suntukan	punching match
Suntukin mo siya.	Punch him.
suót pamburol	clothes formal enough to wear at a funeral
Suriin mo itong mabuti.	Scrutinize this well.
suriin	to analyze, examine, investigate
suring basa	critical read
suring-aklat	book review
suring-bangkay	autopsy
Susubukan ko itong kainin.	I’ll try to eat this.
Susubukan ko.	I’ll try.
Susubukan kong matulog.	I’ll try to sleep.
Susuka yata ako.	I think I’m going to throw up.
Susuklayin ko ang buhok ng aso.	I will comb the dog’s hair.
susunod na kabanata	next chapter
susunod	next
suutan	to dress someone
suwerteng di dumadating	luck that never arrives
suwerteng numero	lucky number
ta·ran·tá·do	foolish + shameless
taal na sikolohiya	ethnic psychology
taal na taga-Laguna	native of Laguna
taal na taga-Laguna	native of Laguna
taba ng isda	fish fat
tabâ	fat
tabí ng kama	bedside
tabing-dagat	seaside, oceanside
tadtád	chop finely, mince
tadtád	cover with (overwhelm)
tadtaran	chopping block
tadtaran	chopping board
Tadtarin mo ang manok.	Chop up the chicken.
Tadtarin mo ito.	Chop this.
tadyak	backward kick
tagabukid / taga-bukid	someone from the countryside
tagalinis / taga-linis	someone tasked with cleaning
tagapaglingkod	servant
tagapagpaganap	executive
tagapagsalita	spokesperson
tagapagsanay	trainer
tagapagtatág	founder
tagapagtupad ng batas	law enforcer
taga-parusa	punisher
tagapulô	islander
Tagarito ka ba?	Are you from here?
Taga-saan ka?	Where are you from?
tagasalin	copying machine
tagasalin	photocopier
tagasalin	translator, interpreter
tagasalinwika	language translator
tagasilbi	server
tagasingil	collector of payments
tagay	a drinking session
tagay	a toast in drinking
tagayán	wineglass
tagilid	tilt, slant
tagiliran	side
tagong yaman	hidden wealth
tagong yaman	hidden wealth
tagpô	scene, circumstances
tagpuan	meeting place
tagpuan	meeting place, rendezvous
tagpuín	to go and meet
tagtág: biglang galaw ng isang bagay o tao dahil sa pagkaumpog,	pagkabunggo, o pagkabagok
taguán	hide and seek
taguán	hiding place
tag-ulan	rainy season
tagumpáy ng katotohanan	triumph of truth
tagumpáy: awiting-bayan ng pagwawagi bílang parangal sa bayani at	paggunita sa matatagumpay na labanán
tagúyod: pagpapanatili ng isang tao, institusyon, at iba pa sa	pamamagitan ng salapi o anumang tulong
tagúyod: pagtulong para mapatunayan o maipagtanggol ang isang panig o	isyu
taká	puzzlement
taká	surprise
taka: pagdiriin ng isang bagay sa papel upang makuha ang anyo o upang	bumakas
takbo ng utak	“run of the brain” = how one thinks
takbo	operation
takda	stated, limited, restricted
takdang-aralin na babasahin sa bahay	assignment that’s to be read at home
takdang-araw	assigned date
takdang-oras	time limit, death
Takót ako sa tubig.	I’m afraid of water.
Takot akong masuntok.	I’m afraid to get punched.
takot	fear
takót	scared, fearful
takutin	to frighten
taláhib	tall grass
talahuluganan	glossary
talamák	addicted
talamák	drenched, infused
talamák	fallen, prostate
talamák	serious, critical, hard to cure
talaorasan	timetable
Talian mo.	Tie it up.
talian	to tie something up
talíno: tao na matalas ang pag-iisip; o ang kolektibong pangkat ng mga	ito
talipapang bayan	a public market
talipapang gala	a traveling wet market
Talo ka.	You lose.
talo	lost, defeated
talon	jump
talón	waterfall
Talunin ang init.	Beat the heat.
talunin	beat, defeat
tamà at mali	right and wrong
Tamà ba ako?	Am I right?
Tamà ba ito?	Is this correct?
Tamà ba?	Correct?
tamà	exact, accurate, precise
tamà	fitting, proper
tamà	right, correct
tamaan	to hit a target
Tamad ang bata.	The child is lazy.
tamád	indolent
tamad	lazy
tamang panahon	right time
tambalan	a pairing
tambalang pangungusap	compound sentence
tambalang-salita	paired words, compound words
tambáng	ambush
tambáng:ang patibong o ang tao na naghihintay sa hayop na papasok sa	patibong
Tamlay ng kanyang katawan ay napuna nang dinatnan, kaya’t lakas ng	katawan siya’y lihim na inuyam.
tampók na panauhin	featured guest
tampók: pagtatangi, pagtanaw, o pagbibigay ng parangal sa isang tao	dahil sa anumang bagay na nagawâ
tanáw	view
tandâ: pinaikling matanda, lalo na kapag ikinabit sa pangalan ng	tinutukoy na tao
Tandaan mo ito.	Remember this.
Tandaan mo ito.	Remember this.
Tandaan mo kung sino ka.	Remember who you are.
tandaan	to remember
tangay: dala, dagit, sapilitang pagkuha, agaw, saklot, daklot, sunggab;	anod
tange	stupid
tangengot	stupid
tanggal, tastas, kalag; di-nakatupad sa pangako, tulad ng kasunduang	pagpapakasal
Tanggalin mo ang baterya.	Remove the battery.
Tanggalin mo ang litrato sa website mo.	Remove the picture from your website.
tanggalin	to detach, to loosen, to take off
Tanggapin mo ito.	Accept this.
tanggapin	to accept
tanggihan	to refuse, reject, deny, negate
tanghal (itanghal): ihayag, dakilain, kilalanin; parangalan; ilantad,	itampok
tanghal (pagtatanghal): pagpapapalabas ng dula, sine, opera, atbp., sa	entablado o sa telon
tanghalian	lunch
tanghaling-tapat	high noon
tangi	exceptional, special
tangi	only, particular
Tangkilikin ang sariling atin.	Patronize our own.
tanikalâ	chain
tanod-gubat	forest ranger
táo: nilikha (genus Homo) na naiiba sa ibang hayop dahil sa mataas na	antas ng kaisipan at komplikadong kakayahan
táo: tawag sa isa sa dalawang mukha ng baryá sa kara krus, kappô, at	katulad na laro
taong isang libo siyam na raan siyamnapu’t siyam	year one thousand nine hundred and ninety nine
taong marupok	fragile person
taong may pera	person with money
taong-lansangan	street person
tapon	to throw away
Tapós ka na ba?	Are you done?
Tapós na ako.	I’m done.
Tapos na ako.	I’m finished now.
Tapós na kami.	We’re done.
tapos	end
Tara na!	Let’s go already.
Tara na, Biyahe tayo.	Let’s go, Let’s travel.
tarantado	silly + disrespectful
taratahin	to confuse, baffle, bewilder
tatagán	to make firm
Tatalon ako.	I’ll jump.
tatanda	will grow old
Tatawagan kita.	I’ll call you.
tatay	father
Tatlong libong piso.	Three thousand pesos.
Tatlong Munting Baboy	Three Little Pigs
tauhan	character in a play
tauhan	underling, staff
taunan	annual, yearly
tawad	discount, bargain
tawad	forgiveness
Tawag sa taksil sa sariling kababayan o kaibigan.	Referring to a traitor to one’s countrymen or friends.
tawag	named
tawag	to call
Tawagan mo ako.	Call me.
Tawagan mo si Lola sa telepono.	Call Grandma on the telephone.
tawanan	to laugh at
tawaran	to bid, haggle
tawíd	crossing
tawíd: banderola na isinasabit sa pisi at itinatalì sa magkabilâng	gilid ng lansangan, karaniwan kung pista
táwiran	crossing point, crosswalk
tay(a)ân	to bet on
tayâ	bet, stake
taya	estimate, calculation
tayahin	to calculate, figure out
Táyo ay magkaibigan.	We are friends.
Táyo na!	Let’s go!
Tayô na!	Stand up already!
táyo: panghalip panao na ginagamit ng higit sa isang tao na nagsasalita	o sumusulat, at sa pagtukoy sa kanilang sarili
Tayo’y mga dahon.	We are leaves.
Táyong dalawa.	We two.
tayútay: pahayag na gumagamit ng mga salita sa isang di-pangkaraniwan o	hindi literal na paraan upang mapaigting ang bisà ng kahulugan
té·ma	theme
Téka lang.	Just wait.
Téka muna.	Wait first.
Tela pumunta sa palengke ang nanay.	Bibili raw siya ng tila.
tematiko	thematic
tenga ng baboy	pig’s ear
tenga	ear
téngga: nahinto ang pagkilos gaya sa pagkilos ng papeles sa isang	opisina
testigo	witness
tetestigo	will testify
That’s the title of a 1974 movie starring Gloria Diaz, Vic Vargas and	Elizabeth Oropesa.
The “lap” being referred to here is the flat area between the waist and	knees of a seated person.
The best bayong has handles that are woven right down and across the	bottom. This way, it can carry heavy loads.
The brown fruit commonly known as [66]chico is also called tsiko or	síko.
The Commission on Filipino Language is currently advocating gulpé as	the standard spelling.
The common Tagalog word for a wet market that is permanently located is	palengke.
The English word “enervated” means feeling drained of energy or	vitality.
The English word livelihood refers to a means of supporting one’s life,	such as by having a job.
The Filipino word for a safe (strong box) for storing valuables is	kaha-de-yero.
The Latin word sagita can be found in a letter that Dr. Jose Rizal	wrote to Dr. Adolph B. Meyer on 20 November 1893.
The little-used verb gulangan (“to use age on”) means to take advantage	of an inexperienced person.
The more colloquial way to say ‘This is yours.’ in Tagalog is Sa ‘yo	ito.
The more common Filipino word for ‘room’ is the Spanish-derived	[66]kuwarto.
The more common word for “poop” is [66]tae, which sounds much more	disgusting, compared to the genteel dumí.
The native Tagalog adverb ríto is a variation of díto (meaning:	here).
The noun form of this word is often encountered by Filipino students in	the classic text Florante at Laura.
The only common usage of this Tagalog word is in the phrase hanging	habágat.
The opposite of a pulis-iskalawag is a huwarang pulis (model police	officer).
The pencil is near the person being spoken to or is being held by the	person being spoken to.
The root word nóod is rarely, if ever, used alone. Its most common form	is manood (to watch).
The soft flesh of a coconut is called buko. The word niyog usually	brings to mind the tougher, more mature flesh.
The Spanish-derived equivalent word that is also widely used, though	with a slight difference in nuance, is [66]milagro.
The Spanish-derived word ríto is the equivalent of the English “rite”	(meaning: ceremony).
The standard Tagalog word for ‘ear’ is tainga, but most Filipinos say	tenga.
The syllable ma is very common as the first syllable of Tagalog	adjectives and verbs. It is even used in front of English nouns.
The Tagalog bawat is a contraction of the words bawa and at. It used to	be written as bawa’t, but is now considered one word.
The Tagalog for the type of “glasses” one wears to help see clearly is	[67]salamin or salamin sa mata (eyeglasses, spectacles).
The Tagalog word [67]kita has another meaning. It is a variation of	‘you.’
The Tagalog word ang is often translated as ‘the’ but it does not	always have an English translation.
The Tagalog word at is a conjunction. It is translated into English as	‘and.’
The Tagalog word for ‘person’ is [65]tao. The Filipino word for	‘public’ is publiko.
The Tagalog word lóok [pronounced loh-ok] refers to a bay, gulf or	harbor.
The Tagalog word mahal as a noun means ‘love’ but as an adjective it	means ‘expensive’ or ‘costly’ or ‘dear.’
The Tagalog word naman is very hard to translate into English. It can	be used to contrast, to soften requests or to give emphasis.
The Tagalog word sa is a preposition that can mean to, at, in, for or	on, depending on the context.
The way banat quotes capture a particular feeling is uncanny and makes	you want to say “Ouch… exactly.”
The word ganyan refers to something nearby, while the word ganoon	refers to something far away.
The word haplos is translated as ‘to stroke’ but it sounds more gentle	and loving in Tagalog.
The word hawak is translated as ‘hold’ but in certain contexts it can	mean ‘touch.’
The word kasi is a conjunction and is the most colloquial way of saying	‘because’ in Tagalog conversation.
The word salúkoy itself is not commonly used. It is the root of	[66]kasalukúyan (meaning: present time).
The word suka has at least two different meanings that depend on	pronunciation.
The word tapat, however, is equivalent to three other words:	“faithful,” “sincere,” and “upright.”
There are at least two meanings for this word, differentiated by the	accent on the syllable.
There are at least two meanings for this word, with the second being	more common than the first.
There are many other meanings for the word lasa. Among them is one that	can more often be found in the inflected form [66]manalasa.
There are other uses of the Tagalog word ng that cannot be translated,	but can be understood through examples.
There are so many ways to say ‘crazy‘ in Tagalog. You can use a	different word for a man and a woman.
There is a beautiful Tagalog song with the title [66]Sa Kabukiran. It’s	about the idyllic life in the countryside.
There is a famous Tagalog folk song with the title Magtanim Ay Di	Biro (Planting is No Joke).
There is a famous volcano inside a lake called Taal in the province of	Batangas.
There is a lesser known meaning for the word kasi, as seen in the	conjugated form kinasihan.
There is a Philippine movie about police corruption titled Iskalawag:	Ang Batas Ay Batas, which was released in 1997.
There is a Tagalog love song whose title is Sapagkat Kami ay Tao	Lamang (Because We’re Only Human).
There is also a colloquial meaning for the word sakay — to be able to	understand (you can ride the meaning).
There is at least one literary work in the early 1970s that referred to	binilibid as a name for a foodstuff.
There is no equivalent phrase for bidding someone ‘[68]good night‘ in	Tagalog.
There’s a Filipino children’s song with the title [68]Ako ay May Lobo	(I Have a Balloon).
These days, most Filipinos use the word [67]mahal in most contexts, and	the word [68]ibig in more dramatic situations.
They both mean the same thing. Narito sounds a little more	old-fashioned than Nandito.
This also refers to being badly affected by adulterated or contaminated	food and drink.
This can be considered a classical Tagalog word for “small” — as quaint	as the use of “little” in English these days.
This can refer to a handrail or bar to hold on to as you walk. It can	also refer to the banister on stairs.
This is a colloquial word commonly heard in radio, TV and print	commercials.
This is a Filipino slang phrase often used after a verb or even a noun	that is repeated twice.
This is a Filipino slang word that can mean different things in	different contexts.
This is a shortened form of iyon that is frequently used in	everyday Filipino conversation.
This is an adjective often used to describe small children,	particularly the youngest in a group. It can also be used as a noun.
This is another Tagalog word that is hard to translate exactly into	English. A few examples may help in understanding how it’s used.
This is not a commonly used word, but it appears in standard	dictionaries.
This is not a commonly used word, but it is listed in standard	dictionaries.
This is one of those Tagalog words that you have to see and hear	frequently in examples in order to grasp the meaning of it.
This is one way to reply that sort of corresponds to the English	modesty phrase “I’m flattered.”
This often refers to a person’s height. For things that are tall or	high, the word more often used is taas (mataas).
This page is for colloquial Filipino phrases that are asked on this	website but cannot be neatly included in the online dictionary.
This Tagalog word is not than common in Filipino conversation but	everyone understands what it means.
This Tagalog word is often used to refer to the situation where two	people just missed meeting each other.
This term is often a friendly reference to someone joining in an	activity, despite not really being a full-fledged member of the group.
This usage is very colloquial and the nuances are hard to translate	because it depends on the context or situation in which it is used.
This was once more widely spelled as [66]sapol. Today, sapul is the	standard spelling.
This word has a deeper significance than the more common [66]alaala,	which means “remember.”
This word has at least the two meanings, the first one more common than	the second.
This word has at least two different meanings, differentiated by accent	on syllables.
This word has at least two meanings with syllables accented	differently.
This word has at least two meanings, differentiated by accented	syllable.
This word has at least two meanings, differentiated by the accent on	the syllables.
This word has at least two meanings. The first (used as an adjective	and verb) is more common than the second (regional noun).
This word has two different meanings, dependent on whether its first or	second syllable is accented.
